sampleId,sampleBucket,samplingReason,entryId,written,reading,senseIndex,pos,englishGlosses,zhGlosses,shortGloss,usageNote,shouldDisplay,confidence,issueFlags,needsHumanReview,riskLabels,riskPriority,changedFields,sourceCandidate,userRating,userIssueType,userComment,suggestedFix
1,visible_common,sd=true 常见词 (other),jmdict-1162680,一冊,いっさつ,1,,,一册; 一本,一册,,True,high,none,False,,,,reviewed-r2,,,,
2,visible_common,sd=true 常见词 (other),jmdict-1162740,一酸化炭素,いっさんかたんそ,1,,,一氧化碳,一氧化碳,,True,high,none,False,,,,reviewed-r2,,,,
3,visible_common,sd=true 常见词 (),jmdict-1162900,一字,いちじ,1,,,一个字; 一个字母,一个字,,True,high,none,False,,,,reviewed-r2,,,,
4,visible_common,sd=true 常见词 (),jmdict-1162920,ひと時,ひととき,1,,,片刻; 一会儿; 瞬间,片刻,,True,high,none,False,,,,reviewed-r2,,,,
5,visible_common,sd=true 常见词 (),jmdict-1162920,ひと時,ひととき,2,,,往昔; 曾经; 一段时期,往昔,,True,high,none,False,,,,reviewed-r2,,,,
6,visible_common,sd=true 常见词 (),jmdict-1162940,一時間,いちじかん,1,,,一小时,一小时,,True,high,none,False,,,,reviewed-r2,,,,
7,visible_common,sd=true 常见词 (),jmdict-1162960,一時金,いちじきん,1,,,一次性付款; 一次性金额; 整笔款项,一次性付款,,True,high,none,False,,,,reviewed-r2,,,,
8,visible_common,sd=true 常见词 (),jmdict-1162960,一時金,いちじきん,2,,,奖金; 一次性奖金,奖金,多指公司发放的一次性奖金。,True,high,none,False,,,,reviewed-r2,,,,
9,visible_common,sd=true 常见词 (),jmdict-1162980,一時的,いちじてき,1,,,暂时的; 一时的; 短暂的,暂时的,,True,high,none,False,,,,reviewed-r2,,,,
10,visible_common,sd=true 常见词 (),jmdict-1163080,一式,いっしき,1,,,一套; 全套; 整组,一套,,True,high,none,False,,,,reviewed-r2,,,,
11,visible_common,sd=true 常见词 (),jmdict-1163080,一式,いっしき,2,,,全部; 一切,全部,,True,high,none,False,,,,reviewed-r2,,,,
12,visible_common,sd=true 常见词 (),jmdict-1163110,一室,いっしつ,1,,,一个房间; 一间屋子,一个房间,,True,high,none,False,,,,reviewed-r2,,,,
13,visible_common,sd=true 常见词 (),jmdict-1163130,一手,いって,2,,,唯一方法; 唯一手段,唯一方法,,True,high,none,False,,,,reviewed-r2,,,,
14,visible_common,sd=true 常见词 (),jmdict-1163130,一手,いって,3,,,独自承担; 一手包办; 垄断,独自承担,,True,high,none,False,,,,reviewed-r2,,,,
15,visible_common,sd=true 常见词 (),jmdict-1163170,一種,いっしゅ,1,,,一种; 一类; 品种,一种,,True,high,none,False,,,,reviewed-r2,,,,
16,visible_common,sd=true 常见词 (),jmdict-1163170,一種,いっしゅ,2,,,某种意义上的; 可以说是,某种意义上的,用于修饰名词，表示不完全准确但类似。,True,high,none,False,,,,reviewed-r2,,,,
17,visible_common,sd=true 常见词 (),jmdict-1163170,一種,いっしゅ,3,,,有点; 有些; 稍微,有点,副词用法，表示程度不高。,True,high,none,False,,,,reviewed-r2,,,,
18,visible_common,sd=true 常见词 (),jmdict-1163190,一首,いっしゅ,1,,,一首（和歌）; 一首诗,一首（和歌）,用于计数和歌、短歌等诗歌。,True,high,none,False,,,,reviewed-r2,,,,
19,visible_common,sd=true 常见词 (),jmdict-1163220,一周年,いっしゅうねん,1,,,满一年; 一整年,满一年,,True,high,none,False,,,,reviewed-r2,,,,
20,visible_common,sd=true 常见词 (),jmdict-1163220,一周年,いっしゅうねん,2,,,一周年; 周年纪念,一周年,,True,high,none,False,,,,reviewed-r2,,,,
